feedbacks,topics
From the second you open the box you will fall in love with this computer !,
Best Buy laughed when I told them they should replace it instead of expecting me to be without a computer again for another couple of weeks .,
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company .,company
Would HIGHLY recommend this netbook though .,
What 's really great about this product is you may have a family member who is computer illiterate and you can pretty much just let them loose on this computer without any real supervision .,
Highly recommended !,
It is very well built .,built
"While Apple 's saving grace is the fact that they at least stand behind their products , and their support is great , it would be nice if their products were more reliable to justify the premium .",support
I love the glass touchpad .,glass touchpad
The Computer itself is a good product but the repair depot stinks .,repair depot
I love the way the entire suite of software works together .,suite of software
Clear picture on it and everything .,picture
"It is a much more streamlined system for adding programs , using the internet , and doing other things everyone does on a computer .","system, programs, using the internet"
I have used both PCs and Macs and I have to say that I really really love my Mac Book Pro .,
The pricing is very competitive .,pricing
It has a lot of memory and a great battery life .,"memory, battery life"
I also did not like the loud noises it made or how the bottom of the computer would get really hot .,"noises, bottom of the computer"
"However , If I sound enthusiastic about this , I am !",
"This is an over - sized , 18 - inch laptop .",18 - inch
This comes in very handy for me as an educator .,
"Yeah , to you .",
"It 's like 9 punds , but if you can look past it , it 's GREAT !",9 punds
"company provides UPS shipping , fast , great !",shipping
( No problem with the ordering or shipping by the way .,shipping
The lcd screen stopped working on mine after 10 months .,lcd screen
It did not have all the features I expected it to have .,features
The difference is the Toshiba had a lot more memory and hard drive space .,"memory, hard drive space"
"Before I got my macbook , I owned a Dell laptop .",
"I use iphoto all the time , which is a great program for anyone who is into photography - amateurs and experts alike .","iphoto, program"
"Where you click and hold and drag it picture , link , etc to where you want it .",
This is still a fairly good upgrade to a laptop that was about 4 years old .,
"Beta had better quality , but VHS became the industry standard .","quality, VHS"
"They don t translate from a Mac , even on Word , resulting in a ton of run - on sentences .",Word
I am a freelance graphic artist .,
"It is not even a year old yet , so I would definitely not recommend it to anyone .",
It was returned on the third day I owned it .,
Sells for the same as a netbook without sacrificing size .,size
This is my first personal Satellite purchase but had very good experience through previous Satellite work issued laptops .,
Great product by Apple with the new great looking design .,design
I wanted to spend around $ 700 to $ 800 so I was directed to a nice looking HP Laptop .,
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio .,quality
"No temporary replacement , they are out of replacements because `` many computers had problems with the Nvidia chipset `` - Inquired status of repair .",Nvidia chipset
"All of the programs ( Keynote , Pages , Numbers ) have an option to save your documents as Microsoft compatible , which really eliminates the need for the actual .","programs, Keynote, Pages, Numbers"
